Gene,Stable_ID,Band,GCpercent,Start,End,Strand,Chromosome
RBL2,ENSG00000103479,q12.2,38.71,53433977,53491648,1.0,16
RBM3,ENSG00000102317,p11.23,47.57,48574449,48581162,1.0,X
RBM4,ENSG00000173933,q13.2,44.81,66638667,66668374,1.0,11
RBM4B,ENSG00000173914,q13.2,43.82,66664998,66677887,-1.0,11
RBM5,ENSG00000003756,p21.31,44.45,50088919,50119021,1.0,3
RBM6,ENSG00000004534,p21.31,44.14,49940007,50100045,1.0,3
RBM8A,ENSG00000265241,q21.1,46.78,145917714,145927678,-1.0,1
RBM10,ENSG00000182872,p11.3,50.27,47145221,47186813,1.0,X
RBM12,ENSG00000244462,q11.22,39.8,35648925,35664956,-1.0,20
RBM14,ENSG00000239306,q13.2,49.61,66616626,66629934,1.0,11
RBM15,ENSG00000162775,p13.3,44.01,110338506,110346681,1.0,1
RBM15B,ENSG00000259956,p21.2,55.81,51391285,51397908,1.0,3
RBM17,ENSG00000134453,p15.1,41.2,6089034,6117457,1.0,10
RBM18,ENSG00000119446,q33.2,40.58,122237622,122264840,-1.0,9
RBM19,ENSG00000122965,q24.21,50.43,113816738,113966325,-1.0,12
RBM23,ENSG00000100461,q11.2,45.96,22893204,22919182,-1.0,14
RBM24,ENSG00000112183,p22.3,41.38,17281361,17293871,1.0,6
RBM26,ENSG00000139746,q31.1,34.26,79311824,79406477,-1.0,13
RBM27,ENSG00000091009,q32,38.67,146203605,146289223,1.0,5
RBM33,ENSG00000184863,q36.3,40.78,155644451,155781485,1.0,7
RBM34,ENSG00000188739,q42.3,44.35,235131183,235161283,-1.0,1
RBM38,ENSG00000132819,q13.31,59.97,57391396,57409333,1.0,20
RBM39,ENSG00000131051,q11.22,40.28,35701347,35742312,-1.0,20
RBM41,ENSG00000089682,q22.3,36.02,107064420,107118823,-1.0,X
RBM42,ENSG00000126254,q13.12,53.79,35629030,35637686,1.0,19
RBM43,ENSG00000184898,q23.3,42.67,151247940,151261863,-1.0,2
RBM45,ENSG00000155636,q31.2,36.95,178112424,178139011,1.0,2
RBM46,ENSG00000151962,q32.1,34.66,154781213,154828813,1.0,4
RBM47,ENSG00000163694,p14,43.22,40423267,40630875,-1.0,4
RBM48,ENSG00000127993,q21.2,40.17,92528773,92540481,1.0,7
RBMS2,ENSG00000076067,q13.3,44.05,56521820,56596193,1.0,12
RBMXL2,ENSG00000170748,p15.4,55.65,7088998,7091148,1.0,11
RBMXL3,ENSG00000175718,q23,62.76,115189410,115192868,1.0,X
RBP1,ENSG00000114115,q23,48.01,139517434,139539829,-1.0,3
RBP2,ENSG00000114113,q23,44.04,139452884,139480747,-1.0,3
RBP3,ENSG00000265203,q11.22,55.02,47348363,47357881,1.0,10
RBP5,ENSG00000139194,p13.31,51.28,7115736,7128889,-1.0,12
RBP7,ENSG00000162444,p36.22,48.33,9997206,10016021,1.0,1
RBPJ,ENSG00000168214,p15.2,40.79,26163455,26435131,1.0,4
RBPJL,ENSG00000124232,q13.12,54.84,45306840,45317824,1.0,20
RBPMS,ENSG00000157110,p12,42.18,30384511,30572256,1.0,8
RBSN,ENSG00000131381,p25.1,44.4,15070073,15099163,-1.0,3
RBX1,ENSG00000100387,q13.2,44.92,40951347,40973309,1.0,22
RC3H2,ENSG00000056586,q33.2,40.51,122844556,122905359,-1.0,9
RCAN1,ENSG00000159200,q22.12,44.23,34513142,34615113,-1.0,21
RCAN3,ENSG00000117602,p36.11,42.26,24502351,24541040,1.0,1
RCBTB1,ENSG00000136144,q14.2,42.22,49531946,49585558,-1.0,13
RCC1,ENSG00000180198,p35.3,50.0,28505943,28539300,1.0,1
RCC1L,ENSG00000274523,q11.23,51.13,75027122,75074228,-1.0,7
RCC2,ENSG00000179051,p36.13,51.69,17406760,17439677,-1.0,1
RCE1,ENSG00000173653,q13.2,60.49,66842835,66846552,1.0,11
RCL1,ENSG00000120158,p24.1,42.81,4792944,4885917,1.0,9
RCN2,ENSG00000117906,q24.3,38.81,76931738,76954393,1.0,15
RCN3,ENSG00000142552,q13.33,53.5,49528003,49546962,1.0,19
RCOR1,ENSG00000089902,q32.31,43.49,102592649,102730561,1.0,14
RCOR3,ENSG00000117625,q32.2,37.38,211258377,211316385,1.0,1
RCVRN,ENSG00000109047,p13.1,50.19,9896320,9905271,-1.0,17
RD3,ENSG00000198570,q32.3,51.2,211476522,211492917,-1.0,1
RD3L,ENSG00000227729,q32.33,36.14,103940426,103942561,-1.0,14
RDH5,ENSG00000135437,q13.2,52.34,55720367,55724705,1.0,12
RDH8,ENSG00000080511,p13.2,50.99,10013249,10022279,1.0,19
RDH10,ENSG00000121039,q21.11,41.69,73294602,73325281,1.0,8
RDH11,ENSG00000072042,q24.1,42.62,67676800,67695793,-1.0,14
RDH12,ENSG00000139988,q24.1,41.06,67701886,67734451,1.0,14
RDH14,ENSG00000240857,p24.2,41.87,18554723,18560679,-1.0,2
RDH16,ENSG00000139547,q13.3,49.87,56951431,56959374,-1.0,12
RDM1,ENSG00000278023,q12,43.27,35918066,35930773,-1.0,17
RDX,ENSG00000137710,q22.3,39.02,109864295,110296712,-1.0,11
REC8,ENSG00000100918,q12,55.21,24171853,24180257,1.0,14
RECK,ENSG00000122707,p13.3,39.23,36036913,36124455,1.0,9
RECQL,ENSG00000004700,p12.1,37.57,21468910,21501669,-1.0,12
REEP1,ENSG00000068615,p11.2,46.05,86213993,86338083,-1.0,2
REEP2,ENSG00000132563,q31.2,58.22,138439057,138446969,1.0,5
REEP3,ENSG00000165476,q21.3,38.33,63521401,63625128,1.0,10
REEP4,ENSG00000168476,p21.3,62.11,22138020,22141951,-1.0,8
REG1A,ENSG00000115386,p12,44.65,79120362,79123409,1.0,2
REG1B,ENSG00000172023,p12,43.51,79085023,79088019,-1.0,2
REG3A,ENSG00000172016,p12,49.07,79157003,79159753,-1.0,2
REG3G,ENSG00000143954,p12,48.19,79025686,79028505,1.0,2
REG4,ENSG00000134193,p12,43.65,119794017,119811580,-1.0,1
REL,ENSG00000162924,p16.1,37.61,60881521,60931612,1.0,2
RELA,ENSG00000173039,q13.1,55.64,65653597,65663090,-1.0,11
RELB,ENSG00000104856,q13.32,51.24,45001449,45038198,1.0,19
RELCH,ENSG00000134444,q21.33,34.66,62187255,62310217,1.0,18
RELL2,ENSG00000164620,q31.3,60.0,141636950,141641064,1.0,5
RELN,ENSG00000189056,q22.1,37.49,103471784,103989658,-1.0,7
RELT,ENSG00000054967,q13.4,59.72,73376399,73397474,1.0,11
REM1,ENSG00000088320,q11.21,50.69,31475288,31484895,1.0,20
REM2,ENSG00000139890,q11.2,56.14,22883222,22887678,1.0,14
REP15,ENSG00000174236,p11.22,41.13,27696447,27697596,1.0,12
REPIN1,ENSG00000214022,q36.1,62.28,150368189,150374044,1.0,7
RERG,ENSG00000134533,p12.3,36.92,15107783,15348675,-1.0,12
RERGL,ENSG00000111404,p12.3,35.03,18080869,18320107,-1.0,12
REST,ENSG00000084093,q12,43.58,56907876,56966678,1.0,4
RET,ENSG00000165731,q11.21,55.71,43077064,43130351,1.0,10
RETN,ENSG00000104918,p13.2,62.83,7669049,7670455,1.0,19
RETNLB,ENSG00000163515,q13.13,43.72,108743424,108757384,-1.0,3
RETREG1,ENSG00000154153,p15.1,42.39,16473038,16617058,-1.0,5
REV1,ENSG00000135945,q11.2,39.33,99400475,99490035,-1.0,2
REV3L,ENSG00000009413,q21,36.9,111299028,111483715,-1.0,6
REX1BD,ENSG00000006015,p13.11,60.24,18588685,18592336,1.0,19
REXO1,ENSG00000079313,p13.3,60.94,1815248,1848483,-1.0,19
REXO2,ENSG00000076043,q23.2,39.61,114439386,114450279,1.0,11
REXO4,ENSG00000148300,q34.2,51.72,133406059,133418096,-1.0,9
REXO5,ENSG00000005189,p12.3,39.89,20806429,20849668,1.0,16
RFC1,ENSG00000035928,p14,39.26,39287456,39366375,-1.0,4
RFC2,ENSG00000049541,q11.23,48.96,74231499,74254458,-1.0,7
RFC3,ENSG00000133119,q13.2,37.82,33818069,33966558,1.0,13
RFC4,ENSG00000163918,q27.3,40.5,186789880,186807058,-1.0,3
RFC5,ENSG00000111445,q24.23,45.74,118013588,118033130,1.0,12
RFK,ENSG00000135002,q21.13,40.41,76385526,76394517,-1.0,9
RFLNA,ENSG00000178882,q24.31,47.18,123973241,124316024,1.0,12
RFPL1,ENSG00000128250,q12.2,46.11,29438583,29442455,1.0,22
RFPL2,ENSG00000128253,q12.3,49.97,32190435,32205001,-1.0,22
RFPL3,ENSG00000128276,q12.3,47.75,32354885,32361161,1.0,22
RFPL4B,ENSG00000251258,q21,40.1,112347330,112351294,1.0,6
RFT1,ENSG00000163933,p21.1,45.76,53088483,53130453,-1.0,3
RFTN1,ENSG00000131378,p24.3,43.5,16313574,16514026,-1.0,3
RFTN2,ENSG00000162944,q33.1,40.77,197568224,197676045,-1.0,2
RFX1,ENSG00000132005,p13.12,56.3,13961530,14007039,-1.0,19
RFX8,ENSG00000196460,q11.2,45.3,101397359,101475112,-1.0,2
RFXANK,ENSG00000064490,p13.11,54.66,19192229,19201869,1.0,19
RGCC,ENSG00000102760,q14.11,45.68,41457550,41470871,1.0,13
RGL2,ENSG00000237441,p21.32,56.69,33291654,33298942,-1.0,6
RGL3,ENSG00000205517,p13.2,50.52,11384341,11419342,-1.0,19
RGL4,ENSG00000159496,q11.23,55.37,23688136,23699176,1.0,22
RGN,ENSG00000130988,p11.3,43.38,47078355,47093314,1.0,X
RGP1,ENSG00000107185,p13.3,52.56,35749287,35758585,1.0,9
RGPD1,ENSG00000187627,p11.2,40.42,86907953,87013976,1.0,2
RGPD2,ENSG00000185304,p11.2,39.62,87755960,87825952,-1.0,2
RGPD3,ENSG00000153165,q12.2,40.38,106391290,106468413,-1.0,2
RGPD4,ENSG00000196862,q12.3,40.47,107826892,107892544,1.0,2
RGR,ENSG00000148604,q23.1,49.21,84230666,84259960,1.0,10
RGS3,ENSG00000138835,q32,48.79,113444731,113597743,1.0,9
RGS9,ENSG00000108370,q24.1,46.84,65100812,65227703,1.0,17
RGS9BP,ENSG00000186326,q13.11,61.07,32675848,32678300,1.0,19
RGS19,ENSG00000171700,q13.33,63.53,64073181,64079988,-1.0,20
RGS20,ENSG00000147509,q11.23,42.33,53851795,53959303,1.0,8
RGS22,ENSG00000132554,q22.2,37.84,99960936,100131268,-1.0,8
RHBDD1,ENSG00000144468,q36.3,39.57,226835581,226999215,1.0,2
RHBDD2,ENSG00000005486,q11.23,47.79,75842602,75888926,1.0,7
RHBDD3,ENSG00000100263,q12.2,55.98,29259872,29268209,-1.0,22
RHBDF1,ENSG00000007384,p13.3,61.15,58059,76355,-1.0,16
RHBDF2,ENSG00000129667,q25.1,57.78,76470891,76501790,-1.0,17
RHBDL1,ENSG00000103269,p13.3,68.27,675666,678268,1.0,16
RHBDL3,ENSG00000141314,q11.2,51.35,32265832,32324659,1.0,17
RHCE,ENSG00000188672,p36.11,46.8,25362249,25430192,-1.0,1
RHD,ENSG00000187010,p36.11,46.66,25272393,25330445,1.0,1
RHEB,ENSG00000106615,q36.1,42.0,151466012,151520120,-1.0,7
RHEBL1,ENSG00000167550,q13.12,49.7,49064676,49070025,-1.0,12
RHNO1,ENSG00000171792,p13.33,47.54,2876258,2889524,1.0,12
RHOA,ENSG00000067560,p21.31,46.57,49359145,49412998,-1.0,3
RHOB,ENSG00000143878,p24.1,57.46,20447074,20449440,1.0,2
RHOBTB1,ENSG00000072422,q21.2,38.94,60869438,61001440,-1.0,10
RHOBTB2,ENSG00000008853,p21.3,53.51,22987417,23020199,1.0,8
RHOD,ENSG00000173156,q13.2,55.57,67056847,67072017,1.0,11
RHOF,ENSG00000139725,q24.31,56.89,121777754,121803403,-1.0,12
RHOG,ENSG00000177105,p15.4,51.19,3826978,3840959,-1.0,11
RHOH,ENSG00000168421,p14,42.71,40191053,40246967,1.0,4
RHOJ,ENSG00000126785,q23.2,40.34,63204114,63293508,1.0,14
RHOQ,ENSG00000119729,p21,43.97,46541806,46584688,1.0,2
RHOT1,ENSG00000126858,q11.2,42.18,32142454,32253374,1.0,17
RHOXF1,ENSG00000101883,q24,41.69,120109051,120115913,-1.0,X
RHOXF2,ENSG00000131721,q24,43.63,120158613,120165630,1.0,X
RHPN1,ENSG00000158106,q24.3,64.97,143368876,143384221,1.0,8
RIBC1,ENSG00000158423,p11.22,48.89,53422690,53431120,1.0,X
RIC1,ENSG00000107036,p24.1,37.47,5629025,5776557,1.0,9
RIC3,ENSG00000166405,p15.4,39.92,8106056,8169055,-1.0,11
RIC8A,ENSG00000177963,p15.5,57.49,207511,215113,1.0,11
RIC8B,ENSG00000111785,q23.3,38.47,106774621,106889316,1.0,12
RICTOR,ENSG00000164327,p13.1,35.53,38937920,39074399,-1.0,5
RIDA,ENSG00000132541,q22.2,38.99,98102344,98117171,-1.0,8
RIF1,ENSG00000080345,q23.3,38.04,151409883,151508013,1.0,2
RIIAD1,ENSG00000178796,q21.3,51.01,151710433,151729805,1.0,1
RILP,ENSG00000167705,p13.3,64.54,1646145,1649866,-1.0,17
RILPL1,ENSG00000188026,q24.31,50.55,123470054,123533719,-1.0,12
RILPL2,ENSG00000150977,q24.31,49.36,123410683,123436717,-1.0,12
RIMBP3,ENSG00000275793,q11.21,62.54,18605815,18611919,-1.0,22
RIMKLA,ENSG00000177181,p34.2,43.65,42380792,42424232,1.0,1
RIMKLB,ENSG00000166532,p13.31,41.05,8681600,8783095,1.0,12
RIMS2,ENSG00000176406,q22.3,35.39,103500696,104256094,1.0,8
RIMS3,ENSG00000117016,p34.2,51.4,40620680,40665682,-1.0,1
RIMS4,ENSG00000101098,q13.12,49.67,44751808,44810546,-1.0,20
RIN2,ENSG00000132669,p11.23,44.28,19757606,20002459,1.0,20
RIN3,ENSG00000100599,q32.12,49.34,92513781,92688994,1.0,14
RING1,ENSG00000204227,p21.32,53.02,33208500,33212722,1.0,6
RINL,ENSG00000187994,q13.2,53.23,38867830,38878275,-1.0,19
RINT1,ENSG00000135249,q22.3,41.47,105532169,105567677,1.0,7
RIOK1,ENSG00000124784,p24.3,39.88,7389793,7418037,1.0,6
RIOK3,ENSG00000101782,q11.2,41.69,23453287,23486603,1.0,18
RIOX2,ENSG00000170854,q11.2,41.54,97941818,97972457,-1.0,3
RIPK2,ENSG00000104312,q21.3,35.92,89757806,89791064,1.0,8
RIPK3,ENSG00000129465,q12,55.85,24336025,24340022,-1.0,14
RIPOR1,ENSG00000039523,q22.1,57.05,67518418,67546788,1.0,16
RIPOR2,ENSG00000111913,p22.3,41.72,24804282,25042170,-1.0,6
RIPOR3,ENSG00000042062,q13.13,51.6,50586108,50691542,-1.0,20
RIPPLY3,ENSG00000183145,q22.13,48.79,37006150,37019662,1.0,21
RIT1,ENSG00000143622,q22,43.8,155897808,155911404,-1.0,1
RITA1,ENSG00000139405,q24.13,51.56,113185526,113192368,1.0,12
RLF,ENSG00000117000,p34.2,39.69,40161387,40240921,1.0,1
RLIM,ENSG00000131263,q13.2,38.69,74582976,74614624,-1.0,X
RLN1,ENSG00000107018,p24.1,38.95,5334930,5339876,-1.0,9
RLN2,ENSG00000107014,p24.1,39.23,5299864,5304716,-1.0,9
RLN3,ENSG00000171136,p13.12,51.91,14028148,14031551,1.0,19
RMC1,ENSG00000141452,q11.2,45.13,23503470,23531822,1.0,18
RMDN3,ENSG00000137824,q15.1,49.18,40735884,40755851,-1.0,15
RMI1,ENSG00000178966,q21.32,38.66,83980711,84004074,1.0,9
RMI2,ENSG00000175643,p13.13,49.94,11249619,11381662,1.0,16
RMND1,ENSG00000155906,q25.1,42.28,151404762,151452158,-1.0,6
RMND5A,ENSG00000153561,p11.2,40.31,86720291,86778041,1.0,2
RMND5B,ENSG00000145916,q35.3,49.48,178130996,178150568,1.0,5
RNASE1,ENSG00000129538,q11.2,51.35,20801228,20802855,-1.0,14
RNASE2,ENSG00000169385,q11.2,47.16,20955487,20956436,1.0,14
RNASE3,ENSG00000169397,q11.2,49.16,20891399,20892348,1.0,14
RNASE4,ENSG00000258818,q11.2,42.91,20684560,20701216,1.0,14
RNASE6,ENSG00000169413,q11.2,42.58,20781268,20782467,1.0,14
RNASE7,ENSG00000165799,q11.2,50.55,21042316,21044234,1.0,14
RNASE8,ENSG00000173431,q11.2,54.26,21057822,21058455,1.0,14
RNASE9,ENSG00000188655,q11.2,37.53,20556093,20560931,-1.0,14
RNASE10,ENSG00000182545,q11.2,51.91,20505537,20511169,1.0,14
RNASE11,ENSG00000173464,q11.2,44.99,20583559,20609884,-1.0,14
RNASE12,ENSG00000258436,q11.2,45.64,20590193,20590823,-1.0,14
RNASE13,ENSG00000206150,q11.2,51.71,21032818,21034807,-1.0,14
RNASEH2A,ENSG00000104889,p13.13,51.76,12806584,12813640,1.0,19
RNASEH2B,ENSG00000136104,q14.3,40.31,50909747,51024120,1.0,13
RNASEH2C,ENSG00000172922,q13.1,55.55,65714005,65720818,-1.0,11
RNASEK,ENSG00000219200,p13.1,57.04,7012417,7014532,1.0,17
RNASET2,ENSG00000026297,q27,48.85,166922113,166957191,-1.0,6
RND1,ENSG00000172602,q13.12,52.07,48857145,48865870,-1.0,12
RND3,ENSG00000115963,q23.3,38.66,150468195,150539011,-1.0,2
RNF4,ENSG00000063978,p16.3,47.38,2462220,2625320,1.0,4
RNF7,ENSG00000114125,q23,39.14,141738249,141747560,1.0,3
RNF8,ENSG00000112130,p21.2,43.66,37353979,37394734,1.0,6
RNF10,ENSG00000022840,q24.31,45.25,120533480,120577588,1.0,12
RNF11,ENSG00000123091,p32.3,41.24,51236273,51273447,1.0,1
RNF14,ENSG00000013561,q31.3,42.05,141958328,141990292,1.0,5
RNF17,ENSG00000132972,q12.12,37.97,24764169,24879921,1.0,13
RNF19A,ENSG00000034677,q22.2,38.61,100257060,100336218,-1.0,8
RNF19B,ENSG00000116514,p35.1,44.34,32936445,32964685,-1.0,1
RNF20,ENSG00000155827,q31.1,38.17,101533853,101563344,1.0,9
RNF24,ENSG00000101236,p13,40.49,3927309,4015558,-1.0,20
RNF26,ENSG00000173456,q23.3,59.18,119334527,119337309,1.0,11
RNF32,ENSG00000105982,q36.3,42.24,156640281,156677130,1.0,7
RNF34,ENSG00000170633,q24.31,43.68,121400041,121430623,1.0,12
RNF39,ENSG00000204618,p22.1,56.28,30070266,30075887,-1.0,6
RNF40,ENSG00000103549,p11.2,55.81,30761745,30776307,1.0,16
RNF103,ENSG00000239305,p11.2,39.04,86603398,86623866,-1.0,2
RNF111,ENSG00000157450,q22.1,39.52,58865175,59097419,1.0,15
RNF114,ENSG00000124226,q13.13,46.63,49936336,49953885,1.0,20
RNF115,ENSG00000265491,q21.1,41.92,145738868,145824095,-1.0,1
RNF121,ENSG00000137522,q13.4,42.62,71929018,71997597,1.0,11
RNF122,ENSG00000133874,p12,49.07,33547754,33567128,-1.0,8
RNF123,ENSG00000164068,p21.31,56.41,49689538,49721529,1.0,3
RNF125,ENSG00000101695,q12.1,42.32,32018825,32073219,1.0,18
RNF128,ENSG00000133135,q22.3,36.73,106693794,106797016,1.0,X
RNF130,ENSG00000113269,q35.3,42.83,179911651,180072113,-1.0,5
RNF138,ENSG00000134758,q12.1,40.1,32091874,32131561,1.0,18
RNF141,ENSG00000110315,p15.4,36.1,10511673,10541230,-1.0,11
RNF144A,ENSG00000151692,p25.1,44.88,6917412,7068286,1.0,2
RNF144B,ENSG00000137393,p22.3,39.19,18387350,18468870,1.0,6
RNF145,ENSG00000145860,q33.3,36.97,159157409,159210053,-1.0,5
RNF146,ENSG00000118518,q22.33,36.49,127266610,127288567,1.0,6
RNF148,ENSG00000235631,q31.32,41.35,122701668,122702922,-1.0,7
RNF149,ENSG00000163162,q11.2,41.19,101271219,101308701,-1.0,2
RNF150,ENSG00000170153,q31.21,38.46,140859807,141212877,-1.0,4
RNF152,ENSG00000176641,q21.33,42.43,61808067,61894247,-1.0,18
RNF157,ENSG00000141576,q25.1,45.04,76142465,76240493,-1.0,17
RNF165,ENSG00000141622,q21.1,49.03,46326809,46463140,1.0,18
RNF168,ENSG00000163961,q29,42.36,196468783,196503768,-1.0,3
RNF169,ENSG00000166439,q13.4,39.49,74748849,74842413,1.0,11
RNF170,ENSG00000120925,p11.21,42.83,42849637,42897290,-1.0,8
RNF175,ENSG00000145428,q31.3,41.0,153710160,153760024,-1.0,4
RNF181,ENSG00000168894,p11.2,54.54,85595725,85597708,1.0,2
RNF182,ENSG00000180537,p23,38.5,13924446,13980310,1.0,6
RNF183,ENSG00000165188,q32,49.82,113297093,113303376,-1.0,9
RNF186,ENSG00000178828,p36.13,58.09,19814029,19815283,-1.0,1
RNF207,ENSG00000158286,p36.31,57.32,6205475,6221299,1.0,1
RNF208,ENSG00000212864,q34.3,68.39,137220247,137221581,-1.0,9
RNF212,ENSG00000178222,p16.3,49.44,1056250,1113564,-1.0,4
RNF212B,ENSG00000215277,q11.2,41.14,23185316,23273477,1.0,14
RNF213,ENSG00000173821,q25.3,49.93,80260866,80398786,1.0,17
RNF214,ENSG00000167257,q23.3,42.99,117232625,117286454,1.0,11
RNF216,ENSG00000011275,p22.1,45.52,5620047,5781739,-1.0,7
RNF217,ENSG00000146373,q22.31,36.66,124962545,125092633,1.0,6
RNF220,ENSG00000187147,p34.1,47.21,44405194,44651724,1.0,1
RNFT1,ENSG00000189050,q23.1,38.09,59952240,59964761,-1.0,17
RNFT2,ENSG00000135119,q24.22,47.15,116738178,116853631,1.0,12
RNGTT,ENSG00000111880,q15,36.63,88609897,88963618,-1.0,6
RNH1,ENSG00000023191,p15.5,60.36,494512,507300,-1.0,11
RNMT,ENSG00000101654,p11.21,39.02,13726660,13764558,1.0,18
RNPC3,ENSG00000185946,p21.1,35.03,103525691,103555239,1.0,1
ROBO1,ENSG00000169855,p12.3,35.1,78597239,79767998,-1.0,3
ROBO2,ENSG00000185008,p12.3,35.65,75906695,77649964,1.0,3
ROCK1,ENSG00000067900,q11.1,36.91,20946906,21111813,-1.0,18
ROGDI,ENSG00000067836,p13.3,63.01,4796968,4802880,-1.0,16
ROM1,ENSG00000149489,q12.3,63.4,62611722,62615120,1.0,11
ROMO1,ENSG00000125995,q11.22,50.26,35699272,35700984,1.0,20
ROPN1,ENSG00000065371,q21.1,42.25,123968521,123992178,-1.0,3
ROPN1L,ENSG00000145491,p15.2,49.76,10441524,10472029,1.0,5
ROR1,ENSG00000185483,p31.3,40.97,63774017,64181498,1.0,1
ROR2,ENSG00000169071,q22.31,44.96,91563091,91950228,-1.0,9
RORB,ENSG00000198963,q21.13,37.74,74497335,74693177,1.0,9
RORC,ENSG00000143365,q21.3,53.06,151806071,151831845,-1.0,1
RP1,ENSG00000104237,q11.23,38.27,54509422,54871720,1.0,8
RP1L1,ENSG00000183638,p23.1,50.94,10606349,10712187,-1.0,8
RP2,ENSG00000102218,p11.3,39.26,46837043,46882358,1.0,X
RPA1,ENSG00000132383,p13.3,44.49,1829702,1900082,1.0,17
RPA3,ENSG00000106399,p21.3,37.19,7636518,7718607,-1.0,7
RPA4,ENSG00000204086,q21.33,46.03,96883908,96885467,1.0,X
RPAIN,ENSG00000129197,p13.2,45.35,5419641,5432876,1.0,17
RPAP1,ENSG00000103932,q15.1,50.42,41517176,41544269,-1.0,15
RPAP2,ENSG00000122484,p22.1,38.43,92299059,92402056,1.0,1
RPAP3,ENSG00000005175,q13.11,36.55,47661249,47706030,-1.0,12
RPE65,ENSG00000116745,p31.3,38.81,68428822,68449954,-1.0,1
RPF1,ENSG00000117133,p22.3,37.21,84479259,84498352,1.0,1
RPF2,ENSG00000197498,q21,42.58,110982015,111028263,1.0,6
RPGR,ENSG00000156313,p11.4,37.6,38269163,38327544,-1.0,X
RPGRIP1,ENSG00000092200,q11.2,44.4,21287939,21351301,1.0,14
RPGRIP1L,ENSG00000103494,q12.2,37.27,53598153,53703938,-1.0,16
RPH3A,ENSG00000089169,q24.13,43.79,112570380,112898881,1.0,12
RPL3,ENSG00000100316,q13.1,53.41,39312882,39320389,-1.0,22
RPL6,ENSG00000089009,q24.13,45.67,112405190,112418838,-1.0,12
RPL7,ENSG00000147604,q21.11,50.65,73290242,73295789,-1.0,8
RPL7A,ENSG00000148303,q34.2,50.45,133348218,133351426,1.0,9
RPL7L1,ENSG00000146223,p21.1,46.45,42879616,42889925,1.0,6
RPL8,ENSG00000161016,q24.3,60.89,144789765,144792587,-1.0,8
RPL9,ENSG00000163682,p14,40.78,39452521,39458949,-1.0,4
RPL13A,ENSG00000142541,q13.33,53.4,49487554,49492308,1.0,19
RPL14,ENSG00000188846,p22.1,44.36,40457292,40468587,1.0,3
RPL15,ENSG00000174748,p24.2,45.62,23916591,23924374,1.0,3
RPL17,ENSG00000265681,q21.1,42.91,49488453,49492523,-1.0,18
RPL18,ENSG00000063177,q13.33,55.98,48615328,48619184,-1.0,19
RPL18A,ENSG00000105640,p13.11,58.25,17859910,17864153,1.0,19
RPL22,ENSG00000116251,p36.31,50.8,6185020,6209389,-1.0,1
RPL23A,ENSG00000198242,q11.2,49.55,28719985,28724359,1.0,17
RPL24,ENSG00000114391,q12.3,42.34,101681091,101686718,-1.0,3
RPL26,ENSG00000161970,p13.1,43.8,8377516,8383213,-1.0,17
RPL27A,ENSG00000166441,p15.4,50.4,8682788,8714759,1.0,11
RPL30,ENSG00000156482,q22.2,42.56,98024851,98046469,-1.0,8
RPL31,ENSG00000071082,q11.2,42.39,101002229,101024032,1.0,2
RPL32,ENSG00000144713,p25.2,47.37,12834485,12841582,-1.0,3
RPL34,ENSG00000109475,q25,41.51,108620566,108630412,1.0,4
RPL35,ENSG00000136942,q33.3,56.22,124857880,124861981,-1.0,9
RPL35A,ENSG00000182899,q29,44.87,197950190,197956610,1.0,3
RPL36A,ENSG00000241343,q22.1,41.82,101390824,101396155,1.0,X
RPL36AL,ENSG00000165502,q21.3,45.45,49618530,49620626,-1.0,14
RPL37A,ENSG00000197756,q35,44.42,216498825,216579180,1.0,2
RPL38,ENSG00000172809,q25.1,48.98,74203582,74210655,1.0,17
RPL39L,ENSG00000163923,q27.3,41.84,187120948,187180908,-1.0,3
RPL41,ENSG00000229117,q13.2,46.23,56116590,56117967,1.0,12
RPLP0,ENSG00000089157,q24.23,48.95,120196699,120201235,-1.0,12
RPLP1,ENSG00000137818,q23,47.29,69452814,69456205,1.0,15
RPLP2,ENSG00000177600,p15.5,56.1,809965,812880,1.0,11
RPN1,ENSG00000163902,q21.3,46.98,128619969,128681075,-1.0,3
RPN2,ENSG00000118705,q11.23,44.36,37178410,37241619,1.0,20
RPP14,ENSG00000163684,p14.3,44.14,58306247,58324695,1.0,3
RPP21,ENSG00000241370,p22.1,53.76,30345131,30346884,1.0,6
RPP25L,ENSG00000164967,p13.3,58.74,34610486,34612104,-1.0,9
RPP30,ENSG00000148688,q23.31,37.93,90871716,90908553,1.0,10
RPP40,ENSG00000124787,p25.1,43.39,4994717,5004063,-1.0,6
RPRD1B,ENSG00000101413,q11.23,42.34,38033725,38127780,1.0,20
RPRD2,ENSG00000163125,q21.2,41.76,150363091,150476566,1.0,1
RPRM,ENSG00000177519,q23.3,59.23,153477338,153478762,-1.0,2
RPRML,ENSG00000179673,q21.32,68.4,46978156,46979253,-1.0,17
RPS2,ENSG00000140988,p13.3,57.61,1962058,1964841,-1.0,16
RPS3,ENSG00000149273,q13.4,48.5,75399515,75422280,1.0,11
RPS6,ENSG00000137154,p22.1,40.65,19375715,19380236,-1.0,9
RPS6KA1,ENSG00000117676,p36.11,53.51,26529761,26575030,1.0,1
RPS6KA2,ENSG00000071242,q27,46.48,166409364,166906451,-1.0,6
RPS6KA3,ENSG00000177189,p22.12,37.68,20149911,20267519,-1.0,X
RPS6KA4,ENSG00000162302,q13.1,56.99,64359148,64372215,1.0,11
